,Country,BirthRate,BusinessTaxRate,CO2Emissions,GDP,HealthExpCapita,InfantMortalityRate,InternetUsage,LendingInterest,LifeExpectancyFemale,MobilePhoneUsage,PopulationTotal,Cluster
191,Nicaragua,0.028,49.05165609584215,3762.0,5107329010.0,54.0,0.033,0.0,0.181,72.0,0.0,5100920,0
192,Panama,0.024,49.05165609584215,5790.0,11620500000.0,295.0,0.022,0.1,0.105,78.0,0.1,3054812,2
193,Paraguay,0.028,49.05165609584215,3689.0,8195993231.0,124.0,0.028,0.0,0.119,72.0,0.2,5350253,0
194,Peru,0.024,49.05165609584215,30297.0,50681123109.0,96.0,0.03,0.0,0.119,73.0,0.0,26000080,0
195,Puerto Rico,0.016,49.05165609584215,8529.0,61701810000.0,193.0,0.02,0.1,0.119,81.0,0.3,3810605,2
196,Sint Maarten (Dutch part),0.02,49.05165609584215,8529.0,15493320082.0,193.0,0.02,0.1,0.119,75.0,0.5,30519,2
197,St. Kitts and Nevis,0.02,49.05165609584215,103.0,416566954.0,392.0,0.014,0.1,0.111,75.0,0.0,45544,2
198,St. Lucia,0.02,49.05165609584215,330.0,764457723.0,272.0,0.015,0.1,0.131,73.0,0.0,156949,2
200,St. Vincent and the Grenadines,0.02,49.05165609584215,158.0,397447007.0,137.0,0.019,0.0,0.115,73.0,0.0,107897,2
201,Suriname,0.023,49.05165609584215,2127.0,892164364.0,167.0,0.03,0.0,0.119,71.0,0.1,466668,2
202,Trinidad and Tobago,0.015,49.05165609584215,24514.0,8154315708.0,260.0,0.025,0.1,0.165,72.0,0.1,1267980,2
203,Turks and Caicos Islands,0.02,49.05165609584215,15.0,15493320082.0,193.0,0.02,0.1,0.119,75.0,0.5,18876,2
204,United States,0.014,49.05165609584215,8529.0,15493320082.0,193.0,0.007,0.4,0.092,79.0,0.4,5971526,2
205,Uruguay,0.016,49.05165609584215,5306.0,22823255806.0,773.0,0.015,0.1,0.119,78.0,0.1,3320841,2
206,"Venezuela, RB",0.024,49.05165609584215,8529.0,117147614566.0,273.0,0.018,0.0,0.119,75.0,0.2,24407553,1
207,Virgin Islands (U.S.),0.014,49.05165609584215,8529.0,15493320082.0,193.0,0.02,0.1,0.119,80.0,0.3,108639,2
208,Algeria,0.019,49.05165609584215,84293.0,54744716706.0,65.0,0.033,0.0,0.095,71.0,0.0,32150198,1
209,Angola,0.05,49.05165609584215,9732.0,8936079253.0,36.0,0.02,0.0,0.119,47.0,0.0,14385283,0
210,Benin,0.042,49.05165609584215,1738.0,2499269391.0,16.0,0.088,0.0,0.119,57.0,0.0,7174911,0
